Category,Question_Number,Question,Answer
Basic SQL Concepts,1,What is SQL?,"SQL (Structured Query Language) is a standardized programming language specifically designed for managing and manipulating relational databases. It allows users to create, retrieve, update, and delete data within a database efficiently."
Basic SQL Concepts,2,What is a database?,"A database is an organized collection of structured data stored electronically in a computer system. It allows for efficient storage, retrieval, and management of data."
Basic SQL Concepts,3,What are the different types of SQL commands?,"SQL commands are categorized into: DDL (Data Definition Language) - CREATE, ALTER, DROP; DML (Data Manipulation Language) - SELECT, INSERT, UPDATE, DELETE; DCL (Data Control Language) - GRANT, REVOKE; TCL (Transaction Control Language) - COMMIT, ROLLBACK, SAVEPOINT"
Basic SQL Concepts,4,What is the difference between DBMS and RDBMS?,"DBMS (Database Management System) is general software that handles creation, storage, and management of databases. RDBMS (Relational Database Management System) is a type of DBMS that stores data in tables with relationships between them, following relational model principles."
Basic SQL Concepts,5,What are the differences between SQL and NoSQL databases?,"SQL databases are relational, use structured schemas, support ACID properties, and use SQL for queries. NoSQL databases are non-relational, have flexible schemas, may sacrifice some ACID properties for performance, and use various query languages."
Data Types and Constraints,1,What are SQL constraints?,"SQL constraints define rules for data in tables to ensure data integrity. Common constraints include: PRIMARY KEY (unique identifier), FOREIGN KEY (referential integrity), UNIQUE (ensures uniqueness), NOT NULL (prevents null values), CHECK (defines conditions), DEFAULT (sets default values)."
Data Types and Constraints,2,What is the difference between CHAR and VARCHAR?,CHAR is fixed-length character data type that pads with spaces if the string is shorter than defined length. VARCHAR is variable-length character data type that only uses as much storage as needed for the actual string length.
Data Types and Constraints,3,What are the different data types in SQL?,"SQL data types include: Numeric (INT, DECIMAL, FLOAT, DOUBLE), String (CHAR, VARCHAR, TEXT), Date/Time (DATE, TIME, DATETIME, TIMESTAMP), Binary (BLOB, BINARY), Boolean (BOOLEAN), and others specific to different database systems."
Data Types and Constraints,4,What is the difference between Primary Key and Foreign Key?,"Primary Key uniquely identifies each row in a table, cannot be NULL, and there can be only one per table. Foreign Key is a field that references the primary key of another table, can be NULL, and there can be multiple foreign keys in a table."
Basic Query Operations,1,What is the SELECT statement?,"SELECT statement is used to query and retrieve data from one or more tables. It can specify columns to retrieve, apply filters with WHERE clause, sort results with ORDER BY, and group data with GROUP BY."
